Identifier,LAKE,TOWN,Noted.Location,Dominant.Taxa,Total.Cell.Concentration,Date.Advisory.Issued,Date.Advisory.Removed,Advisory.Days,AUID,Notification.Type
Robinson.Hudson,Robinson Pond,Hudson,,Coelosphaerium,">70,000 or >50%",8/8/2008,8/21/2008,13,NHLAK700061203-06-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena,">70,000 or >50%",8/8/2008,8/15/2008,7,NHLAK700061205-02-01,Warning
Mirror.Tuftonboro,Mirror Lake,"Tuftonboro, Wolfeboro",,Oscillatoria,">70,000 or >50%",8/12/2008,12/1/2008,111,NHLAK700020106-02-01,Warning
Forest.Winchester,Forest Lake,Winchester,,Oscillatoria,">70,000 or >50%",8/12/2008,8/29/2008,17,NHLAK802010401-01-01,Warning
French.Henniker,French Pond,Henniker,,Anabaena,">70,000 or >50%",8/14/2008,9/1/2008,18,NHLAK700030504-02-01,Warning
Webster.Franklin,Webster Lake,Franklin,,Anabaena,">70,000 or >50%",8/15/2008,11/26/2008,103,NHLAK700010804-02-01,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,Microcystis,">70,000 or >50%",8/15/2008,10/10/2008,56,NHLAK700061403-03-01,Warning
Hunkins.Sanbornton,Hunkins Pond,Sanbornton,,Anabaena,">70,000 or >50%",8/21/2008,12/1/2008,102,NHLAK700020201-02,Warning
LittleSunapee.NewLondon,Little Sunapee Lake,New London,,Anabaena,">70,000 or >50%",8/22/2008,8/25/2008,3,NHLAK801060402-04-01,Warning
Monomonac.Rindge,"Monomonac, Lake",Rindge,,Anabaena,">70,000 or >50%",8/22/2008,10/9/2008,48,NHLAK802020103-06,Warning
Showell.Sandown,Showell Pond,Sandown,,Aphanizomenon,">70,000 or >50%",8/25/2008,12/1/2008,98,NHLAK600030802-04,Warning
Phillips.Sandown,Phillips Pond,Sandown,,unidentified,">70,000 or >50%",9/4/2008,12/1/2008,88,NHLAK600030802-03-01,Warning
Monomonac.Rindge,"Monomonac, Lake",Rindge,,Anabaena,">70,000 or >50%",6/3/2009,6/15/2009,12,NHLAK802020103-06,Warning
Goose.Canaan,Goose Pond,"Canaan, Hanover",,Anabaena,">70,000 or >50%",6/5/2009,6/22/2009,17,NHLAK801060103-01,Warning
Harvey.Northwood,Harvey Lake,Northwood,,Anabaena,">70,000 or >50%",6/8/2009,6/16/2009,8,NHLAK700060502-05,Warning
Mascoma.Enfield,Mascoma Lake,Enfield/Lebanon,,Anabaena,">70,000 or >50%",6/10/2009,6/17/2009,7,NHLAK801060105-04-01,Warning
Locke.Barnstead,Locke Lake,Barnstead,,Anabaena,">70,000 or >50%",6/11/2009,6/19/2009,8,NHIMP700060402-02,Warning
Willand.Somersworth,Willand Pond,Somersworth,,Anabaena,">70,000 or >50%",6/11/2009,7/14/2009,33,NHLAK600030405-03,Warning
Hermit.Sanbornton,Hermit Lake,Sanbornton,,Anabaena,">70,000 or >50%",6/11/2009,6/15/2009,4,NHLAK700010802-03-01,Warning
Robinson.Hudson,Robinson Pond,Hudson,,Anabaena,">70,000 or >50%",7/10/2009,7/13/2009,3,NHLAK700061203-06-01,Warning
York.Berlin,York Pond,Berlin,,Aphanizomenon,"100,000",7/14/2009,10/27/2009,105,NHLAK801010701-02,Warning
Horace.Weare,Horace Lake,Weare,,Anabaena,"134,000",7/17/2009,7/20/2009,3,NHLAK700060601-05-01,Warning
Locke.Barnstead,Locke Lake,Barnstead,,Anabaena,">70,000 or >50%",7/22/2009,7/29/2009,7,NHIMP700060402-02,Warning
Pearly.Rindge,Pearly Lake,Rindge,,Anabaena,">70,000 or >50%",7/29/2009,8/7/2009,9,NHLAK802020103-08,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,Anabaena,">70,000 or >50%",8/5/2009,8/14/2009,9,NHLAK700061403-03-01,Warning
Rust.Wolfeboro,Rust Pond,Wolfeboro,,unidentified,">70,000 or >50%",8/10/2009,8/19/2009,9,NHLAK700020101-07-01,Warning
Mascoma.Enfield,Mascoma Lake,Enfield/Lebanon,,Anabaena,"1,259,600",8/12/2009,8/15/2009,3,NHLAK801060105-04-01,Warning
Cobbetts.Windham,Cobbetts Pond,Windham,,Anabaena,"475,760",8/14/2009,8/27/2009,13,NHLAK700061204-01-01,Warning
Great.Kingston,Great Pond,Kingston,,Anabaena,"144,000",8/18/2009,8/20/2009,2,NHLAK700061403-06-01,Warning
Phillips.Sandown,Phillips Pond,Sandown,,Microcystis,">70,000 or >50%",8/19/2009,8/20/2009,1,NHLAK600030802-03-01,Warning
