Identifier,LAKE,TOWN,Noted.Location,Dominant.Taxa,Total.Cell.Concentration,Date.Advisory.Issued,Date.Advisory.Removed,Advisory.Days,AUID,Notification.Type
Silver.Hollis,Silver Lake,Hollis,,Anabaena/Dolichospermum,"840,000",6/12/2017,8/23/2017,72,NHLAK700061001-02-01,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Anabaena/Dolichospermum,"85,800",6/19/2017,6/30/2017,11,NHIMP700030503-01-01,Warning
Monomonac.Rindge,"Monomonac, Lake",Rindge,,Anabaena/Dolichospermum,"695,700",7/18/2017,7/31/2017,13,NHLAK802020103-06,Warning
Long.Pelham,Long Pond,Pelham,,Microcystis,"105,160",7/20/2017,8/1/2017,12,NHLAK700061205-02-01,Warning
French.Henniker,French Pond,Henniker,,Anabaena/Dolichospermum,"98,000",7/25/2017,8/16/2017,22,NHLAK700030504-02-01,Warning
Keyser.Henniker,Keyser Pond,Henniker,,Anabaena/Dolichospermum,"979,000",7/25/2017,8/16/2017,22,NHLAK700030504-03,Warning
Sebbins.Bedford,Sebbins Pond,Bedford,,Microcystis,"375,350",7/26/2017,8/6/2017,11,NHLAK700060804-02,Warning
Lees.Moultonboro,Lees Pond,Moultonborough,,Aphanocapsa,"122,750",7/27/2017,8/1/2017,5,NHLAK700020103-05,Warning
LittleIsland.Pelham,Little Island Pond,Pelham,,Anabaena/Dolichospermum,"7,000,000",7/31/2017,8/7/2017,7,NHLAK700061204-02,Warning
Pawtuckaway.Nottingham,Pawtuckaway Lake,Nottingham,,Anabaena/Dolichospermum,"74,500",8/4/2017,8/16/2017,12,NHLAK600030704-02-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Oscillatoria,"140,800",8/10/2017,8/23/2017,13,NHLAK700061403-07,Warning
Lily.Sandown,Lily Pond,Sandown,,Oscillatoria,too numerous to count (TNTC),8/24/2017,9/7/2017,14,NHLAK600030802-02,Warning
Long.Pelham,Long Pond,Pelham,,Microcystis,">70,000",9/5/2017,9/30/2017,25,NHLAK700061205-02-01,Warning
Governors.Raymond,Governors Lake,Raymond,,Anabaena/Dolichospermum,"95,241",9/13/2017,9/20/2017,7,NHLAK600030703-01,Warning
Partridge.Littleton,Partridge Lake,Littleton,,Anabaena/Dolichospermum,"1,400,000",9/17/2017,10/6/2017,19,NHLAK801030502-03,Warning
Great.Kingston,Great Pond,Kingston,,Microcystis,"1,300,000",9/19/2017,9/27/2017,8,NHLAK700061403-06-01,Warning
Turtle.Concord,Turtle Pond,Concord,,Microcystis,">1,000,000",9/27/2017,10/6/2017,9,NHLAK700060302-08,Warning
Jackman.Hillsboro,Jackman Reservoir/Franklin Pierce Lake,Hillsborough,,Anabaena/Dolichospermum,"450,000",6/7/2018,6/12/2018,5,NHLAK700030202-03-01,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Anabaena/Dolichospermum,"739,196",6/12/2018,6/20/2018,8,NHIMP700030503-01-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena/Dolichospermum,"800,000",6/21/2018,6/26/2018,5,NHLAK700061001-02-01,Warning
Berry.Freedom,Berry Bay,Freedom,,Anabaena/Dolichospermum,"170,000",6/22/2018,6/29/2018,7,NHLAK600020804-01-01,Warning
Jericho.Berlin,Jericho Lake,Berlin,,Anabaena/Dolichospermum,"3,250,000",6/26/2018,7/3/2018,7,NHLAK400010606-01,Warning
Paugus.Laconia,Paugus Bay,Laconia,,Microcystis,"3,000,000",6/29/2018,8/9/2018,41,NHLAK700020110-02-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena/Dolichospermum,">1,000,000",6/29/2018,9/26/2018,89,NHLAK700061001-02-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena/Dolichospermum,">70,000",6/29/2018,7/3/2018,4,NHLAK700061205-02-01,Warning
Post.Lyme,Post Pond,Lyme,,Anabaena/Dolichospermum,">70,000",6/29/2018,7/17/2018,18,NHLAK801040203-01-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Oscillatoria/Planktothrix,"19,000,000",7/5/2018,8/8/2018,34,NHLAK700061403-07,Warning
Phillips.Sandown,Phillips Pond,Sandown,,Microcystis,"87,750",7/13/2018,8/8/2018,26,NHLAK600030802-03-01,Warning
Keyser.Henniker,Keyser Pond,Henniker,,Oscillatoria/Planktothrix,too numerous to count (TNTC),7/17/2018,9/21/2018,66,NHLAK700030504-03,Warning
JonesDam.NewDurham,Jones Dam Pond,New Durham,,Oscillatoria/Planktothrix,"3,000,000",7/20/2018,9/25/2018,67,NHIMP700020102-01-01,Warning
New.Canterbury,New Pond,Canterbury,,Anabaena/Dolichospermum,"80,000",7/20/2018,8/8/2018,19,NHLAK700060201-03,Warning
Sebbins.Bedford,Sebbins Pond,Bedford,,Oscillatoria/Planktothrix,">30,000,000",7/20/2018,8/22/2018,33,NHLAK700060804-02,Warning
Marsh.Alton,Marsh Pond,"New Durham, Alton",,Oscillatoria/Planktothrix,"140,000",7/27/2018,10/5/2018,70,NHIMP700020102-01-02,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena/Dolichospermum,">70,000",7/31/2018,8/3/2018,3,NHLAK700061205-02-01,Warning
Province.Effingham,Province Lake,Effingham/Wakefield,,Anabaena/Dolichospermum,">70,000",8/6/2018,8/16/2018,10,NHLAK600020902-01,Warning
MineFalls.Nashua,Nashua River (Mine Falls),Nashua,,Oscillatoria/Planktothrix,too numerous to count (TNTC),8/8/2018,8/28/2018,20,NHIMP700040402-02,Warning
Sunrise.Middleton,Sunrise Lake,Middleton,,Oscillatoria/Planktothrix,">70,000",8/8/2018,8/22/2018,14,NHLAK600030601-05-01,Warning
Showell.Sandown,Showell Pond,Sandown,,Anabaena/Dolichospermum,"13,500,000",8/8/2018,10/23/2018,76,NHLAK600030802-04,Warning
Wicwas.Meredith,Wicwas Lake,Meredith,,Anabaena/Dolichospermum,"119,000",8/9/2018,8/23/2018,14,NHLAK700020201-04,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Anabaena/Dolichospermum,">70,000",8/16/2018,8/24/2018,8,NHIMP700030503-01-01,Warning
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,Oscillatoria/Planktothrix,too numerous to count (TNTC),8/16/2018,8/22/2018,6,NHLAK600020803-01-02,Warning
Halfmoon.Alton,Halfmoon Lake,"Alton, Barnstead",,Oscillatoria/Planktothrix,"1,450,000",8/16/2018,8/30/2018,14,NHLAK700060402-03,Warning
Hothole.Loudon,Hothole Pond,Loudon,,Anabaena/Dolichospermum,"194,000",8/17/2018,9/11/2018,25,NHLAK700060302-05,Warning
Arlington.Salem,Arlington Mill Reservoir,Salem,,Microcystis,"1,000,000",8/17/2018,10/22/2018,66,NHLAK700061101-04,Warning
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,Oscillatoria/Planktothrix,too numerous to count (TNTC),8/24/2018,9/26/2018,33,NHLAK600020803-01-02,Warning
Winona.NewHampton,"Winona, Lake",New Hampton,,Anabaena/Dolichospermum,"1,000,000",8/29/2018,9/7/2018,9,NHLAK700020108-02-02,Warning
Winni.Wolfeboro,"Winnipesaukee, Lake","Wolfeboro, Tuftonborough, Alton",,Gloeotrichia,">70,000",8/30/2018,9/21/2018,22,NHLAK700020110-02-19-3,Warning
Hunkins.Sanbornton,Hunkins Pond,Sanbornton,,Anabaena/Dolichospermum,"87,500",9/7/2018,10/26/2018,49,NHLAK700020201-02,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,Microcystis,"19,620,000",9/28/2018,10/4/2018,6,NHLAK700061403-03-01,Warning
Squam.Holderness,Squam Lake,Holderness,,Microcystis,"175,500",10/12/2018,10/17/2018,5,NHLAK700010501-04-01,Warning
WhiteOak.Holderness,White Oak Pond,Holderness,,Microcystis,"4,417,500",10/12/2018,10/17/2018,5,NHLAK700010501-05,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,"194,000",6/9/2019,6/27/2019,18,NHLAK700061001-02-01,Warning
JonesDam.NewDurham,Jones Dam Pond,New Durham,,Oscillatoria/Planktothrix,"960,000",6/10/2019,6/14/2019,4,NHIMP700020102-01-01,Warning
Jackman.Hillsboro,Jackman Reservoir/Franklin Pierce Lake,Hillsborough,,Anabaena/Dolichospermum,"680,000",6/10/2019,6/14/2019,4,NHLAK700030202-03-01,Warning
Willand.Somersworth,Willand Pond,Somersworth,,Anabaena/Dolichospermum,"673,500",6/18/2019,6/27/2019,9,NHLAK600030405-03,Warning
Captains.Salem,Captains Pond,Salem,,Anabaena/Dolichospermum,"6,250,000",6/20/2019,7/2/2019,12,NHLAK700061102-03-01,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Anabaena/Dolichospermum,"537,500",6/26/2019,7/9/2019,13,NHIMP700030503-01-01,Warning
Hunkins.Sanbornton,Hunkins Pond,Sanbornton,,Anabaena/Dolichospermum,"611,000",6/26/2019,7/30/2019,34,NHLAK700020201-02,Warning
Clough.Loudon,Clough Pond,Loudon,,Anabaena/Dolichospermum,"490,000",6/27/2019,7/2/2019,5,NHLAK700060202-03-01,Warning
Post.Lyme,Post Pond,Lyme,,Anabaena/Dolichospermum,"370,000",6/28/2019,7/2/2019,4,NHLAK801040203-01-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena/Dolichospermum,"1,700,000",7/3/2019,7/11/2019,8,NHLAK700061205-02-01,Warning
JonesDam.NewDurham,Jones Dam Pond,New Durham,,Oscillatoria/Planktothrix,"282,000",7/10/2019,8/16/2019,37,NHIMP700020102-01-01,Warning
Keyser.Henniker,Keyser Pond,Henniker,,Anabaena/Dolichospermum,"145,000",7/10/2019,10/30/2019,112,NHLAK700030504-03,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Oscillatoria/Planktothrix,"258,000",7/22/2019,7/25/2019,3,NHIMP700030503-01-01,Warning
Province.Effingham,Province Lake,Effingham/Wakefield,,Anabaena/Dolichospermum,"1,131,000",7/25/2019,7/31/2019,6,NHLAK600020902-01,Warning
Marsh.Alton,Marsh Pond,"New Durham, Alton",,Oscillatoria/Planktothrix,"150,000",7/26/2019,9/15/2019,51,NHIMP700020102-01-02,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Oscillatoria/Planktothrix,">70,000",7/26/2019,7/30/2019,4,NHLAK700061403-07,Warning
Dublin.Dublin,Dublin Lake,Dublin,,Microcystis,">70,000",7/26/2019,7/31/2019,5,NHLAK802010202-05,Warning
Long.Henniker,Long Pond,Henniker,,Oscillatoria/Planktothrix,"113,000",8/2/2019,8/14/2019,12,NHLAK700030502-01,Warning
Jackman.Hillsboro,Jackman Reservoir/Franklin Pierce Lake,Hillsborough,,Anabaena/Dolichospermum,"377,500",8/6/2019,8/9/2019,3,NHLAK700030202-03-01,Warning
Mirror.Tuftonboro,Mirror Lake,"Tuftonboro, Wolfeboro",,Microcystis,"1,329,500",8/7/2019,8/20/2019,13,NHLAK700020106-02-01,Warning
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,Oscillatoria/Planktothrix,"285,200",8/9/2019,8/13/2019,4,NHLAK600020803-01-02,Warning
Hunkins.Sanbornton,Hunkins Pond,Sanbornton,,Anabaena/Dolichospermum,"165,000",8/9/2019,8/28/2019,19,NHLAK700020201-02,Warning
Tarleton.Piermont,"Tarleton, Lake",Piermont,,Anabaena/Dolichospermum,"257,650",8/12/2019,8/14/2019,2,NHLAK801040201-03,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena/Dolichospermum,"971,000",8/13/2019,8/20/2019,7,NHLAK700061001-02-01,Warning
Jericho.Berlin,Jericho Lake,Berlin,,Anabaena/Dolichospermum,"2,425,000",8/15/2019,8/20/2019,5,NHLAK400010606-01,Warning
Haunted.Francestown,Haunted Lake,Francestown,,Oscillatoria/Planktothrix,"204,000",8/19/2019,8/27/2019,8,NHLAK700060605-04-01,Warning
Showell.Sandown,Showell Pond,Sandown,,Anabaena/Dolichospermum,">70,000",8/20/2019,11/18/2019,90,NHLAK600030802-04,Warning
Lees.Moultonboro,Lees Pond,Moultonborough,,Anabaena/Dolichospermum,"327,000",8/20/2019,8/30/2019,10,NHLAK700020103-05,Warning
Halfmoon.Alton,Halfmoon Lake,"Alton, Barnstead",,Anabaena/Dolichospermum,"137,000",8/20/2019,8/27/2019,7,NHLAK700060402-03,Warning
Wicwas.Meredith,Wicwas Lake,Meredith,,Anabaena/Dolichospermum,"446,675",8/21/2019,8/27/2019,6,NHLAK700020201-04,Warning
PineRiver.Wakefield,Pine River Pond,Wakefield,,Oscillatoria/Planktothrix,too numerous to count (TNTC),8/30/2019,9/5/2019,6,NHLAK600020703-03,Warning
Nippo.Barrington,Nippo Pond,Barrington,,Picocyanobacteria,"200,000",8/30/2019,9/23/2019,24,NHLAK600030605-01,Warning
Tucker.Salisbury,Tucker Pond,Salisbury,,Woronichinia,"1,813,000",9/23/2019,10/7/2019,14,NHLAK700030304-07,Warning
Adder.Andover,Adder Pond/Hopkins Pond,Andover,,Anabaena/Dolichospermum,"3,580,000",10/11/2019,11/21/2019,41,NHLAK700030403-01,Warning
Governors.Raymond,Governors Lake,Raymond,,"Anabaena/Dolichospermum, Microcystis, Woronichinia","1,975,000",5/27/2020,6/10/2020,14,NHLAK600030703-01,Warning
Clough.Loudon,Clough Pond,Loudon,,Dolichospermum (D. lemmermannii),"232,500",6/2/2020,6/10/2020,8,NHLAK700060202-03-01,Warning
Millville.Salem,Millville Lake,Salem,,Dolichospermum (D. lemmermannii),"455,000",6/3/2020,6/10/2020,7,NHLAK700061102-06-01,Warning
Island.Stoddard,Island Pond,Stoddard,,NA,NA,6/8/2020,NA,NA,NHLAK700030202-02-01,Alert
Winnipocket.Webster,"Winnepocket, Lake",Webster,,NA,NA,6/9/2020,NA,NA,NHLAK700030304-08,Alert
Silver.Hollis,Silver Lake,Hollis,,"Microcystis, Woronichinia","327,500",6/9/2020,6/19/2020,10,NHLAK700061001-02-01,Warning
Mascoma.Enfield,Mascoma Lake,Enfield/Lebanon,,NA,NA,6/9/2020,NA,NA,NHLAK801060105-04-01,Alert
Phillips.Sandown,Phillips Pond,Sandown,,NA,NA,6/10/2020,NA,NA,NHLAK600030802-03-01,Alert
Locke.Barnstead,Locke Lake,Barnstead,,NA,NA,6/12/2020,NA,NA,NHIMP700060402-02,Alert
Baboosic.Amherst,Baboosic Lake,Amherst,,"Anabaena/Dolichospermum, Woronichinia, Oscillatoria","516,000",6/17/2020,6/19/2020,2,NHLAK700060905-01-01,Warning
Lees.Moultonboro,Lees Pond,Moultonborough,,NA,NA,6/18/2020,NA,NA,NHLAK700020103-05,Alert
Goose.Canaan,Goose Pond,"Canaan, Hanover",,NA,NA,6/18/2020,NA,NA,NHLAK801060103-01,Alert
Winona.NewHampton,"Winona, Lake",New Hampton,,Anabaena/Dolichospermum,"365,000",6/19/2020,6/24/2020,5,NHLAK700020108-02-02,Warning
Chestnut.Epsom,Chestnut Pond,Epsom,,NA,NA,6/23/2020,NA,NA,NHLAK700060502-03,Alert
Greenwood.Kingston,Greenwood Pond,Kingston,,NA,NA,6/23/2020,NA,NA,NHLAK700061403-07,Alert
OtterBrook.Keene,Otter Brook Lake,Keene,,NA,NA,6/23/2020,NA,NA,NHLAK802010201-06-01,Alert
Russell.Harrisville,Russell Reservoir,Harrisville,,NA,NA,6/26/2020,NA,NA,NHLAK802010202-07,Alert
Paugus.Laconia,Paugus Bay,Laconia,,NA,NA,6/28/2020,NA,NA,NHLAK700020110-02-01,Alert
Silver.Hollis,Silver Lake,Hollis,,"Microcystis, Woronichinia, Dolichospermum",">70,000",6/29/2020,8/20/2020,52,NHLAK700061001-02-01,Warning
Tucker.Salisbury,Tucker Pond,Sailsbury,,NA,NA,7/1/2020,NA,NA,NHLAK700030304-07,Alert
Winni.Gil2,"Winnipesaukee, Lake","Gilford, Laconia, Alton",,Photo (Welch Island),NA,7/2/2020,NA,NA,NHLAK700020110-02-19-4,Alert
Marsh.Alton,Marsh Pond,"New Durham, Alton",,"Planktothrix, Aphanocapsa, Pseudoanabaena","351,050",7/10/2020,9/14/2020,66,NHIMP700020102-01-02,Warning
Tucker.Salisbury,Tucker Pond,Salisbury,,Woronichinia,"360,000",7/10/2020,11/19/2020,132,NHLAK700030304-07,Warning
Merrymeeting.Alton,Merrymeeting River,Alton,,NA,NA,7/16/2020,NA,NA,NHIMP700020102-02,Alert
Long.Henniker,Long Pond,Henniker,,Planktothrix,"2,000,000",7/16/2020,9/1/2020,47,NHLAK700030502-01,Warning
Keyser.Henniker,Keyser Pond,Henniker,,"Chrysosporum, Dolichospermum, Planktothrix, Spirulina","89,000",7/16/2020,9/15/2020,61,NHLAK700030504-03,Warning
Forest.Dalton,Forest Lake,"Whitefield, Dalton",,"Anabaena/Dolichospermum, Microcystis, Aphanizomenon","1,000,000",7/20/2020,7/30/2020,10,NHLAK801030101-02-01,Warning
JonesDam.NewDurham,Jones Dam Pond,New Durham,,Planktothrix,"300,000",7/30/2020,9/14/2020,46,NHIMP700020102-01-01,Warning
Cobbetts.Windham,Cobbetts Pond,Windham,,Dolichospermum (D. lemmermannii),"225,000",7/30/2020,8/5/2020,6,NHLAK700061204-01-01,Warning
Pleasant.Francestown,Pleasant Pond,Francestown,,NA,NA,8/3/2020,NA,NA,NHLAK700060604-01,Alert
Haunted.Francestown,Haunted Lake,Francestown,,NA,NA,8/3/2020,NA,NA,NHLAK700060605-04-01,Alert
Lily.Sandown,Lily Pond,Sandown,,NA,NA,8/5/2020,NA,NA,NHLAK600030802-02,Alert
Winona.NewHampton,"Winona, Lake",New Hampton,,NA,NA,8/9/2020,NA,NA,NHLAK700020108-02-02,Alert
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,Anabaena/Dolichospermum,"78,750",8/12/2020,8/26/2020,14,NHLAK700020105-02,Warning
Norway.Hancock,Norway Pond,Hancock,,NA,NA,8/17/2020,NA,NA,NHLAK700030107-02-01,Alert
Long.Pelham,Long Pond,Pelham,,"Anabaena/Dolichospermum, Microcystis","137,000",8/17/2020,9/23/2020,37,NHLAK700061205-02-01,Warning
PineRiver.Wakefield,Pine River Pond,Wakefield,,NA,NA,8/18/2020,NA,NA,NHLAK600020703-03,Alert
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,Planktothrix,"2,500,000",8/18/2020,9/11/2020,24,NHLAK600020803-01-02,Warning
Partridge.Littleton,Partridge Lake,Littleton,,"Anabaena/Dolichospermum, Microcystis","100,000",8/18/2020,9/4/2020,17,NHLAK801030502-03,Warning
WhiteOak.Holderness,White Oak Pond,Holderness,,Microcystis wesenbergii,"173,000",9/4/2020,9/23/2020,19,NHLAK700010501-05,Warning
Partridge.Littleton,Partridge Lake,Littleton,,NA,NA,9/4/2020,NA,NA,NHLAK801030502-03,Alert
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,NA,NA,9/9/2020,NA,NA,NHLAK700020105-02,Alert
Harvey.Northwood,Harvey Lake,Northwood,,Chrysosporum,"375,000",9/9/2020,11/6/2020,58,NHLAK700060502-05,Warning
Tarleton.Piermont,"Tarleton, Lake",Piermont,,NA,NA,9/9/2020,NA,NA,NHLAK801040201-03,Alert
Spofford.Chesterfield,Spofford Lake,Chesterfield,,"Scytonema, Stigonema, Tolypothrix, Lyngbya",benthic mats; too numerous to count (TNTC),9/10/2020,10/7/2020,27,NHLAK801070503-01-01,Warning
Russell.Harrisville,Russell Reservoir,Harrisville,,NA,NA,9/17/2020,NA,NA,NHLAK802010202-07,Alert
Partridge.Littleton,Partridge Lake,Littleton,,NA,NA,9/21/2020,NA,NA,NHLAK801030502-03,Alert
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,"Microcystis, Aphanizomenon, Woronichinia, Dolichospermum (D. spiralis, D. lemmermannii, D. circinalis, D. planctonicum)","393,500",9/29/2020,10/9/2020,10,NHLAK700020105-02,Warning
WhiteOak.Holderness,White Oak Pond,Holderness,,NA,NA,10/5/2020,NA,NA,NHLAK700010501-05,Alert
Spofford.Chesterfield,Spofford Lake,Chesterfield,,NA,NA,10/7/2020,NA,NA,NHLAK801070503-01-01,Alert
Robinson.Hudson,Robinson Pond,Hudson,,"Woronichinia, Microcystis, Dolichospermum","1,167,000",10/14/2020,10/22/2020,8,NHLAK700061203-06-01,Warning
Millen.Washington,Millen Pond,Washington,,Nostoc,NA,10/14/2020,NA,NA,NHLAK802010101-06-01,Alert
Webster.Franklin,Webster Lake,Franklin,,NA,NA,10/21/2020,NA,NA,NHLAK700010804-02-01,Alert
Nippo.Barrington,Nippo Pond,Barrington,,NA,NA,10/23/2020,NA,NA,NHLAK600030605-01,Alert
Swains.Barrington,Swains Lake,Barrington,,NA,NA,11/10/2020,NA,NA,NHLAK600030903-03,Alert
WhiteOak.Holderness,White Oak Pond,Holderness,,NA,NA,11/10/2020,NA,NA,NHLAK700010501-05,Alert
Saltmarsh.Gilford,Saltmarsh Pond,Gilford,,NA,NA,11/10/2020,NA,NA,NHLAK700020110-05,Alert
Nubanusit.Nelson,Nubanusit lake,Nelson,,NA,NA,11/10/2020,NA,NA,NHLAK700030103-07,Alert
Clough.Loudon,Clough Pond,Loudon,,NA,NA,11/10/2020,NA,NA,NHLAK700060202-03-01,Alert
Partridge.Littleton,Partridge Lake,Littleton,,NA,NA,12/13/2020,NA,NA,NHLAK801030502-03,Alert
Winni.CenterHarbor,"Winnipesaukee, Lake","Center Harbor, Meredith, Moultonborough",,Benthic,NA,5/28/2021,NA,NA,NHLAK700020110-02-19-6,Alert
Island.Stoddard,Island Pond,Stoddard,,NA,NA,5/28/2021,NA,NA,NHLAK700030202-02-01,Alert
Robinson.Hudson,Robinson Pond,Hudson,,"Dolichospermum, Woronichinia, Microcystis","780,000",6/1/2021,6/8/2021,7,NHLAK700061203-06-01,Warning
Berry.Freedom,Berry Bay,Freedom,,NA,NA,6/2/2021,NA,NA,NHLAK600020804-01-01,Alert
Province.Effingham,Province Lake,Effingham/Wakefield,,NA,NA,6/2/2021,NA,NA,NHLAK600020902-01,Alert
Swains.Barrington,Swains Lake,Barrington,,"Dolichospermum, Woronichinia","1,050,000",6/2/2021,6/11/2021,9,NHLAK600030903-03,Warning
Webster.Franklin,Webster Lake,Franklin,,Dolichospermum,"145,000",6/2/2021,6/7/2021,5,NHLAK700010804-02-01,Warning
Highland.Stoddard,Highland Lake,Stoddard,,NA,NA,6/2/2021,NA,NA,NHLAK700030201-03,Alert
Island.Stoddard,Island Pond,Stoddard,,NA,NA,6/2/2021,NA,NA,NHLAK700030202-02-01,Alert
Tucker.Salisbury,Tucker Pond,Salisbury,,NA,NA,6/2/2021,NA,NA,NHLAK700030304-07,Alert
Bow.Strafford,Bow Lake,Strafford,,Dolichospermum,">70,000",6/4/2021,6/10/2021,6,NHLAK600030604-01-01,Warning
Clough.Loudon,Clough Pond,Loudon,,NA,NA,6/4/2021,NA,NA,NHLAK700060202-03-01,Alert
LowerSuncook.Barnstead,Lower Suncook Lake,Barnstead,,NA,NA,6/7/2021,NA,NA,NHLAK700060402-10-01,Alert
Elm.Hopkinton,Elm Brook,Hopkinton,,"Dolichospermum, Woronichinia","315,000",6/8/2021,6/11/2021,3,NHIMP700030503-01-01,Warning
Tuxbury.SouthHampton,Tuxbury Pond,South Hampton,,NA,NA,6/17/2021,NA,NA,NHLAK700061403-10,Alert
Spofford.Chesterfield,Spofford Lake,Chesterfield,,NA,NA,6/29/2021,NA,NA,NHLAK801070503-01-01,Alert
Silver.Hollis,Silver Lake,Hollis,,"Microcystis, Dolichospermum","1,250,000",7/4/2021,8/18/2021,45,NHLAK700061001-02-01,Warning
Swains.Barrington,Swains Lake,Barrington,,NA,NA,7/15/2021,NA,NA,NHLAK600030903-03,Alert
Tucker.Salisbury,Tucker Pond,Salisbury,,Woronichinia,"2,670,000",7/15/2021,9/10/2021,57,NHLAK700030304-07,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,"Microcystis, Dolichospermum lemmermannii, D. circinalis, D. planctonicum, Woronichinia","1,950,000",7/15/2021,7/20/2021,5,NHLAK700061403-03-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Planktothrix mats,benthic mats; too numerous to count (TNTC),7/15/2021,7/20/2021,5,NHLAK700061403-07,Warning
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,NA,NA,7/16/2021,NA,NA,NHLAK700020105-02,Alert
Marsh.Alton,Marsh Pond,"New Durham, Alton",,Planktothrix,"85,000",7/21/2021,9/20/2021,61,NHIMP700020102-01-02,Warning
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,NA,NA,7/21/2021,NA,NA,NHLAK600020803-01-02,Alert
Wash.Hampstead,Wash Pond/Sunset Lake,Hampstead,,Benthic,NA,7/21/2021,NA,NA,NHLAK700061101-03-01,Alert
Governors.Raymond,Governors Lake,Raymond,,"Microcystis, Woronichinia, Dolichospermum","2,600,000",7/22/2021,8/3/2021,12,NHLAK600030703-01,Warning
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,NA,NA,7/24/2021,NA,NA,NHLAK700020105-02,Alert
Bow.Strafford,Bow Lake,Strafford,,NA,NA,8/3/2021,NA,NA,NHLAK600030604-01-01,Alert
Kanasatka.Moultonboro,"Kanasatka, Lake",Moultonborough,,Dolichospermum,"750,000",8/3/2021,8/18/2021,15,NHLAK700020105-02,Warning
Robinson.Hudson,Robinson Pond,Hudson,,"Dolichospermum, Woronichinia, Aphanizomenon","849,500",8/3/2021,8/12/2021,9,NHLAK700061203-06-01,Warning
Locke.Barnstead,Locke Lake,Barnstead,,"Microcystis, Dolichospermum","340,000",8/4/2021,9/8/2021,35,NHIMP700060402-02,Warning
Northwood.Northwood,Northwood Lake,Northwood,,NA,NA,8/4/2021,NA,NA,NHLAK700060502-08-01,Alert
Harvey.Northwood,Harvey Lake,Northwood,,"Microcystis, Woronichinia, Dolichospermum","2,230,000",8/9/2021,9/3/2021,25,NHLAK700060502-05,Warning
PineRiver.Wakefield,Pine River Pond,Wakefield ,,Benthic,NA,8/10/2021,NA,NA,NHLAK600020703-03,Alert
MiddleDan.Freedom,Middle Danforth Pond,Freedom,,NA,NA,8/10/2021,NA,NA,NHLAK600020803-01-02,Alert
Governors.Raymond,Governors Lake,Raymond,,NA,NA,8/10/2021,NA,NA,NHLAK600030703-01,Alert
Phillips.Sandown,Phillips Pond,Sandown,,NA,NA,8/10/2021,NA,NA,NHLAK600030802-03-01,Alert
Highland.Andover,Highland Lake,Andover,,Benthic,NA,8/10/2021,NA,NA,NHLAK700010804-01-01,Alert
French.Henniker,French Pond,Henniker,,NA,NA,8/10/2021,NA,NA,NHLAK700030504-02-01,Alert
Lily.Barnstead,Lily Pond,Barnstead,,Benthic,NA,8/10/2021,NA,NA,NHLAK700060501-04,Alert
Arlington.Salem,Arlington Mill Reservoir,Salem,,NA,NA,8/10/2021,NA,NA,NHLAK700061101-04,Alert
Forest.Dalton,Forest Lake,"Whitefield, Dalton",,NA,NA,8/10/2021,NA,NA,NHLAK801030101-02-01,Alert
Chalk.Newbury,Chalk Pond,Newbury,,Benthic,NA,8/10/2021,NA,NA,NHLAK801060402-03,Alert
Swanzey.Swanzey,Swanzey Lake,Swanzey,,NA,NA,8/10/2021,NA,NA,NHLAK802010302-01-01,Alert
Monomonac.Rindge,"Monomonac, Lake",Rindge,,NA,NA,8/10/2021,NA,NA,NHLAK802020103-06,Alert
Mirror.Tuftonboro,Mirror Lake,"Tuftonboro, Wolfeboro",,Dolichospermum,"115,000",8/12/2021,8/20/2021,8,NHLAK700020106-02-01,Warning
Eastman.Grantham,Eastman Pond,Grantham,,Dolichospermum,"205,000",8/13/2021,8/19/2021,6,NHLAK801060401-06,Warning
